,agency_id,dist,heading,length,pattern_id,point_id,route_dir,route_short_name,shape_id,shape_pt_sequence,trip_id
29,8.0,0.529436889245,176.92993148313667,0.015902341452,Pittsburg/Bay Point - SFIA/Millbrae_0_1,29.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,29.0,01SFO10
30,8.0,0.544883308664,176.9476018478365,0.0154464194191,Pittsburg/Bay Point - SFIA/Millbrae_0_1,30.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,30.0,01SFO10
31,8.0,0.55225214613,176.93703278222983,0.00736883746597,Pittsburg/Bay Point - SFIA/Millbrae_0_1,31.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,31.0,01SFO10
32,8.0,0.56622989755,176.9380559782685,0.0139777514202,Pittsburg/Bay Point - SFIA/Millbrae_0_1,32.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,32.0,01SFO10
33,8.0,0.584639075954,176.92138991375577,0.0184091784041,Pittsburg/Bay Point - SFIA/Millbrae_0_1,33.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,33.0,01SFO10
34,8.0,0.601554156265,176.95584678202954,0.0169150803108,Pittsburg/Bay Point - SFIA/Millbrae_0_1,34.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,34.0,01SFO10
35,8.0,0.618622228038,176.84388754849078,0.0170680717726,Pittsburg/Bay Point - SFIA/Millbrae_0_1,35.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,35.0,01SFO10
36,8.0,0.628577805282,176.67311133134945,0.00995557724422,Pittsburg/Bay Point - SFIA/Millbrae_0_1,36.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,36.0,01SFO10
37,8.0,0.64800490679,176.7266871097886,0.0194271015081,Pittsburg/Bay Point - SFIA/Millbrae_0_1,37.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,37.0,01SFO10
38,8.0,0.664906673402,176.57202814489756,0.0169017666118,Pittsburg/Bay Point - SFIA/Millbrae_0_1,38.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,38.0,01SFO10
39,8.0,0.679051892964,176.46815069793638,0.0141452195618,Pittsburg/Bay Point - SFIA/Millbrae_0_1,39.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,39.0,01SFO10
40,8.0,0.69305857644,176.2562423623374,0.0140066834762,Pittsburg/Bay Point - SFIA/Millbrae_0_1,40.0,01SFO10,Pittsburg/Bay Point - SFIA/Millbrae,01_shp,40.0,01SFO10
