fare_id,price,currency_type,payment_method,transfers
164758,2.50,USD,1,0
164759,2.50,USD,1,0
164760,2.50,USD,1,0
164761,2.00,USD,1,0
164762,2.00,USD,1,0
164763,2.00,USD,1,0
164764,2.00,USD,1,0
164765,2.00,USD,1,0
164766,2.00,USD,1,0
164767,2.00,USD,1,0
164768,2.00,USD,1,0
164769,2.00,USD,1,0
164770,2.00,USD,1,0
164771,2.00,USD,1,0
164772,2.00,USD,1,0
164773,2.00,USD,1,0
164774,2.00,USD,1,0
