service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72969,1,1,1,1,1,0,0,20160304,20160903
72970,1,1,1,1,1,0,0,20160304,20171231
72971,1,1,1,1,1,0,0,20160904,20171231
72972,0,0,0,0,0,1,0,20160304,20160903
72973,0,0,0,0,0,1,0,20160304,20171231
72974,0,0,0,0,0,1,0,20160904,20171231
72975,0,0,0,0,0,0,1,20160304,20160903
72976,0,0,0,0,0,0,1,20160304,20171231
72977,0,0,0,0,0,0,1,20160904,20171231
